cannot import cuda implementation for inference, fallback to pytorch.
警告: 以下QP值超出安全范围 [0, 71]，将被跳过: [75, 80]
将测试以下QP值: [20, 25, 30, 35, 40, 45, 50, 55, 60, 65, 70]

================================================================================
开始多QP测试
================================================================================


================================================================================
测试 QP = 20
================================================================================

QP=25 | Frame 87: Weighted PSNR: 32.278 dB | Y: 30.245 | U: 39.434 | V: 37.325 | Bpp: 0.0237
QP=25 | Frame 88: Weighted PSNR: 31.880 dB | Y: 29.803 | U: 39.254 | V: 36.965 | Bpp: 0.0127
QP=25 | Frame 89: Weighted PSNR: 32.304 dB | Y: 30.321 | U: 39.184 | V: 37.327 | Bpp: 0.0258
QP=25 | Frame 90: Weighted PSNR: 31.875 dB | Y: 29.937 | U: 38.912 | V: 36.466 | Bpp: 0.0127
QP=25 | Frame 91: Weighted PSNR: 31.903 dB | Y: 30.053 | U: 38.918 | V: 35.987 | Bpp: 0.0163
QP=25 | Frame 92: Weighted PSNR: 31.484 dB | Y: 29.647 | U: 38.721 | V: 35.266 | Bpp: 0.0101
QP=25 | Frame 93: Weighted PSNR: 31.429 dB | Y: 29.604 | U: 38.558 | V: 35.248 | Bpp: 0.0132
QP=25 | Frame 94: Weighted PSNR: 31.173 dB | Y: 29.325 | U: 38.275 | V: 35.160 | Bpp: 0.0084
QP=25 | Frame 95: Weighted PSNR: 30.554 dB | Y: 28.695 | U: 37.933 | V: 34.329 | Bpp: 0.0054
QP=25 | Frame 96: Weighted PSNR: 30.094 dB | Y: 28.300 | U: 37.286 | V: 33.667 | Bpp: 0.0058
QP=25 | Frame 97: Weighted PSNR: 32.087 dB | Y: 30.213 | U: 39.163 | V: 36.252 | Bpp: 0.0591
QP=25 | Frame 98: Weighted PSNR: 31.828 dB | Y: 29.883 | U: 39.213 | V: 36.116 | Bpp: 0.0115
QP=25 | Frame 99: Weighted PSNR: 32.769 dB | Y: 30.942 | U: 39.553 | V: 36.948 | Bpp: 0.0306
QP=25 | [BasketballPass_416x240_50.yuv] Weighted PSNR: 33.587 dB | Y-PSNR: 31.728 dB | U-PSNR: 39.651 dB | V-PSNR: 38.674 dB | MSE: 0.00233 | Bpp: 0.0153

